program_reference_id,date_received,description,facility_site_name,facility_site_address,city,county,permit_status,permit_type,completed_date,permit_number,days_used,expiration,url,site_id,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS (block)","Full FIPS (tract)","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
EX199806107,"6/25/98 0:00","Pharmaceutical Manufacture","Chemsyn Laboratories","1701 Vine St",Harrisonville,Cass,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","1/29/99 0:00",0199-027,218,,,APA000370043,38.659759,-94.361722,0.9,range_interpolation,1701,"W Vine St",,,Harrisonville,MO,"Cass County",64701,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29037,Harrisonville,2930610,060904,1017,1,290370609041017,29037060904,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199903159,"6/29/98 0:00","Dry Cleaner","Speedy Cleaners","4845 Independence Ave","Kansas City",Jackson,"AP:  Received Basic OP Issued","AOP: Basic Operating Permit","6/29/98 0:00",OP,0,"6/28/03 0:00",,AP0000952195,39.105178,-94.523677,1,rooftop,4845,"Independence Ave",,,"Kansas City",MO,"Jackson County",64124,US,Jackson,2021,29,29095,"Kansas City",2938000,001900,1005,1,290950019001005,29095001900,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199807008,"7/6/98 0:00","Asphalt Drum Mix Plant","APAC - Kansas - Independence Division","2031 N Courtney Rd",Independence,Jackson,"AP:  Section 4 Permit Issued","AP: Sec 4: Relocate to New Site","8/4/98 0:00",,29,"7/15/00 0:00",,AP0000950061,39.141522,-94.398979,1,rooftop,2031,"N Courtney Rd",,,Independence,MO,"Jackson County",64050,US,Jackson,2021,29,29095,"Sugar Creek",2971368,015100,1078,1,290950151001078,29095015100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199807023,"7/6/98 0:00","Enhanced Fluid Recovery - Remediation","Amoco Oil Co","1000 North Sterling","Sugar Creek",Jackson,"AP:  No Permit Required","AP: Applicability Determination Request","7/28/98 0:00",,22,,,APA000950002,39.112849,-94.444597,0.7,street_center,,"N Sterling Ave",,,Independence,MO,"Jackson County",64054,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Sugar Creek",2971368,011100,1037,1,290950111001037,29095011100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199908082,"7/8/98 0:00",Basic,"The Bratton Corporation","2801 E 85TH ST","Kansas City",Jackson,"AP:  OP Application Replaced by New Submittal","AOP: Local Issued OP","6/23/03 0:00",OP,1811,,,AP0000952034,38.972035,-94.554979,1,rooftop,2801,"E 85th St",,,"Kansas City",MO,"Jackson County",64132,US,Jackson,2021,29,29095,"Kansas City",2938000,009600,3016,3,290950096003016,29095009600,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199908083,"7/8/98 0:00","Electricity - Basic","Kansas City Power & Light","4400 E FRONT ST","Kansas City",Jackson,"AP:  OP Application Replaced by New Submittal","AOP: Local Issued OP","12/4/03 0:00",OP,1975,,,AP0000952012,39.132487,-94.526322,1,rooftop,4400,"E Front St",,,"Kansas City",MO,"Jackson County",64120,US,Jackson,2021,29,29095,"Kansas City",2938000,015500,1036,1,290950155001036,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199807034,"7/9/98 0:00","Grain/Seeds Processing-Basic",ADM/Growmark,"6900 SCARRITT AVE","Kansas City",Jackson,"AP:  OP Application Replaced by New Submittal","AOP: Local Issued OP","2/5/03 0:00",,1672,,,APB000950008,39.115727,-94.500361,1,rooftop,6900,"Scarritt Ave",,,"Kansas City",MO,"Jackson County",64123,US,Jackson,2021,29,29095,"Kansas City",2938000,015500,1095,1,290950155001095,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199807042,"7/13/98 0:00","5 Video Ink-Jet Printers","Hallmark Cards, Inc","2501 MCGEE ST","Kansas City",Jackson,"AP:  Permit Issued","AP: Local CP","8/12/98 0:00",846,30,,,AP0000950114,39.079886,-94.582436,0.99,rooftop,"2501 R","McGee St",,,"Kansas City",MO,"Jackson County",64108,US,"City of Kansas City",2021,29,29095,"Kansas City",2938000,004400,1000,1,290950044001000,29095004400,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199807046,"7/13/98 0:00","Haz Waste Treatment Facility-Basic","Heritage Environmental Services Inc","8525 NE 38th Street","Kansas City",Clay,"AP:  Operating Permit Issued","AOP: Local Issued OP","9/3/98 0:00",OP,52,"9/2/03 0:00",,AP0000472222,39.162068,-94.482826,1,range_interpolation,8525,"NE 38th St",,,"Kansas City",MO,"Clay County",64161,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"Kansas City",2938000,022200,3054,3,290470222003054,29047022200,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199808041,"8/10/98 0:00","Zoo Incinerator - Basic","Kansas City Zoo","6700 ZOO DR","Kansas City",Jackson,"AP:  Closed out, per policy","AOP: Basic Operating Permit","7/18/08 0:00",OP,3630,"8/10/03 0:00",,AP0000952074,39.00782,-94.530854,1,rooftop,6700,"Zoo Dr",,,"Kansas City",MO,"Jackson County",64132,US,"City of Kansas City",2021,29,29095,"Kansas City",2938000,980101,1013,1,290959801011013,29095980101,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199809006,"8/10/98 0:00","Six-color press  ","Rosse Litho Company","2100 Wyandotte St","Kansas City",Jackson,"AP:  Permit Issued","AP: Local CP","9/14/98 0:00",844,35,,,AP0000952030,39.088048,-94.586336,1,rooftop,2100,"Wyandotte St",,,"Kansas City",MO,"Jackson County",64108,US,Jackson,2021,29,29095,"Kansas City",2938000,015800,1038,1,290950158001038,29095015800,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199809007,"8/10/98 0:00","Coatings Recordkeeping","Kansas City Auto Auction","3901 N Great Midwest Dr","Kansas City",Clay,"AP:  Permit Issued","AP: Local CP","9/14/98 0:00",??,35,,,APA000472209,39.166059,-94.487588,0.9,rooftop,3901,"NE Great Midwest Dr",,,"Kansas City",MO,"Clay County",64161,US,"City of Kansas City",2021,29,29047,"Kansas City",2938000,022200,3036,3,290470222003036,29047022200,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199908095,"8/13/98 0:00","Plating - Basic","Jackson Plating & Polishing Inc","2638 JACKSON AVE","Kansas City",Jackson,"AP:  Closed out, per policy","AOP: Local Issued OP","8/13/03 0:00",OP,1826,,,AP0000952167,39.076908,-94.534288,1,rooftop,2638,"Jackson Ave",,,"Kansas City",MO,"Jackson County",64127,US,Jackson,2021,29,29095,"Kansas City",2938000,016500,1014,1,290950165001014,29095016500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199808067,"8/14/98 0:00","Modify Recordkeeping requirements","Lake City Army Ammunition Plant","MO Hwy 78",Independence,Jackson,"AP:  Closed out, per policy","AP: Corrections & Amendments","9/23/98 0:00",,40,,,AP0000950046,39.107798,-94.409828,0.5,place,,,,,Independence,MO,"Jackson County",64050,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,Independence,2935000,011300,1011,1,290950113001011,29095011300,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199808068,"8/14/98 0:00","Replace Engine Generator","Hoechst Marion Roussel, Inc","10236 Marion Park Dr","Kansas City",Jackson,"AP:  Permit Issued","AP: Local CP","9/15/98 0:00",850,32,,,APB000950063,39.048809,-94.595695,1,rooftop,10236,"Marion Park Dr",,,"Kansas City",MO,"Jackson County",64137,US,"City of Kansas City",2021,29,29095,"Kansas City",2938000,007100,3000,3,290950071003000,29095007100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199808090,"8/14/98 0:00","Modify Recordkeeping requirements","Lake City Army Ammunition Plant","MO Hwy 78",Independence,Jackson,"AP:  Closed out, per policy","AP: Sec 5 & 6: Deminimis and Minor","9/23/98 0:00",0199-021,40,,,AP0000950046,39.107798,-94.409828,0.5,place,,,,,Independence,MO,"Jackson County",64050,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,Independence,2935000,011300,1011,1,290950113001011,29095011300,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199908090,"8/24/98 0:00",Basic,"Stone Container Corp","3244 GARDNER AVE","North Kansas City",Jackson,"AP:  OP Application Replaced by New Submittal","AOP: Local Issued OP","2/5/03 0:00",OP,1626,,,APA000950071,39.130004,-94.562177,0.45,place,,,,,"North Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,6014,6,290470221006014,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199808111,"8/25/98 0:00","Dry Detergent Blending","U.S.A. Detergents, Inc.","1607 Anaconda Rd",Harrisonville,Cass,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","7/9/99 0:00",0799-005,318,,,APA000370054,38.639634,-94.364915,1,range_interpolation,1607,"Anaconda Rd",,,Harrisonville,MO,"Cass County",64701,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29037,Harrisonville,2930610,061400,4017,4,290370614004017,29037061400,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199808123,"8/26/98 0:00","Home decoration products & wood furniture MACT","Sexton Metalcraft Inc","9700 E 56TH ST",Raytown,Jackson,"AP:  Operating Permit Issued","AOP: Part 70 Operating Permit","2/13/01 0:00",OP2001-011,902,"2/13/06 0:00",,AP0000950196,39.022665,-94.465522,1,rooftop,9700,"E 56th St",,,Raytown,MO,"Jackson County",64133,US,Jackson,2021,29,29095,Raytown,2960788,012501,1009,1,290950125011009,29095012501,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199808129,"8/28/98 0:00","Gypsum Processing","Bral Environmental Services",,"Kansas City",Jackson,"AP:  Application Required","AP: Applicability Determination Request","9/10/98 0:00",,13,,,AP0199808129,39.102404,-94.598583,1,place,,,,,"Kansas City",MO,"Jackson County",64101,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Kansas City",2938000,015200,3049,3,290950152003049,29095015200,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199808130,"8/28/98 0:00","Truck Receiving Pit","Cargill, Inc.","2306 ROCHESTER ST","Kansas City",Jackson,"AP:  Permit Issued","AP: Local CP","9/28/98 0:00",848,31,,,AP0000952001,39.121091,-94.555817,1,range_interpolation,2306,"Rochester St",,,"Kansas City",MO,"Jackson County",64120,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Kansas City",2938000,015500,1082,1,290950155001082,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199908091,"8/28/98 0:00","Asphalt - Basic","Superior Asphalt","N Skiles Street","Kansas City",Clay,"AP:  Closed out, per policy","AOP: Local Issued OP","8/28/03 0:00",OP,1826,,,AP0000472211,39.229799,-94.482619,1,street_center,,"N Skiles Ct",,,"Kansas City",MO,"Clay County",64158,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"Kansas City",2938000,021307,3002,3,290470213073002,29047021307,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199809023,"9/4/98 0:00","Hospital generators, boiler-Basic","Children's Mercy Hospital","2401 GILLHAM RD","Kansas City",Jackson,"AP:  Permit Issued","AOP: Basic Operating Permit","11/15/02 0:00",,1533,,,AP0000952163,39.08305,-94.577639,1,rooftop,2401,"Gillham Rd",,,"Kansas City",MO,"Jackson County",64108,US,Jackson,2021,29,29095,"Kansas City",2938000,004300,1004,1,290950043001004,29095004300,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199809024,"9/4/98 0:00","Hospital Boilers, Incinerators, generators-Basic","St Joseph Health Center","1000 CARONDELET DR","Kansas City",Jackson,"AP:  OP Application Replaced by New Submittal","AOP: Local Issued OP","10/28/02 0:00",OP,1515,,,AP0000952083,38.935669,-94.603767,1,rooftop,1000,"Carondelet Dr",,,"Kansas City",MO,"Jackson County",64114,US,Jackson,2021,29,29095,"Kansas City",2938000,010105,3000,3,290950101053000,29095010105,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199908085,"9/4/98 0:00","Construction - Basic","LaFarge Corporation","3801 N ARLINGTON AVE","Kansas City",Clay,"AP:  Closed out, per policy","AOP: Local Issued OP","9/25/03 0:00",OP,1847,,,AP0000472203,39.164015,-94.459831,1,rooftop,3801,"N Arlington Ave",,,"Kansas City",MO,"Clay County",64161,US,"City of Kansas City",2021,29,29047,"Kansas City",2938000,022200,3061,3,290470222003061,29047022200,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199908086,"9/4/98 0:00","Construction - Basic","LaFarge Corporation","4701 COAL MINE RD","Kansas City",Jackson,"AP:  Closed out, per policy","AOP: Basic Operating Permit","9/4/03 0:00",OP,1826,,,AP0000952016,39.034688,-94.518784,1,range_interpolation,4701,"Coal Mine Rd",,,"Kansas City",MO,"Jackson County",64130,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Kansas City",2938000,017500,2003,2,290950175002003,29095017500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199809053,"9/8/98 0:00","Move Crushing plant on property","Limpus Quarries","1701 N Mo Hwy 291","Sugar Creek",Jackson,"AP:  No Permit Required","AP: Applicability Determination Request","10/21/98 0:00",N/A,43,,,AP0199804024,39.008497,-94.243439,0.9,nearest_rooftop_match,1705,"SE M Aa Hwy",,,"Blue Springs",MO,"Jackson County",64014,US,Jackson,2021,29,29095,,,014122,1020,1,290950141221020,29095014122,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199809031,"9/9/98 0:00","Rock Crusher, stationary to portable","APAC - Limpus Quarries Inc","38800 E 285th St","Garden City",Cass,"AP:  Section 4 Permit Issued","AP: Sec 4: Relocate to New Site","9/25/98 0:00",,16,"9/18/00 0:00",,AP0000370022,38.595001,-94.154881,1,range_interpolation,38800,"E 285th St",,,"Garden City",MO,"Cass County",64747,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29037,,,060700,2044,2,290370607002044,29037060700,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199809062,"9/14/98 0:00","Add color flexographic press","Package Service Company, Inc.","1800 NW VIVION RD",Northmoor,Platte,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","4/1/99 0:00",0499-001,199,,,APA001650021,39.182542,-94.601729,0.9,rooftop,1800,"NW Vivion Rd",,,Northmoor,MO,"Platte County",64150,US,"Platte County",2021,29,29165,Northmoor,2953174,030002,3015,3,291650300023015,29165030002,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199903173,"9/14/98 0:00","Railroad Car Maintenance","Mid America Car Inc","1523 North Monroe","North Kansas City",Jackson,"AP:  Received Basic OP Issued","AOP: Basic Operating Permit","9/14/98 0:00",OP,0,"9/13/03 0:00",,AP0000952015,39.130004,-94.562177,0.45,place,,,,,"North Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,6014,6,290470221006014,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199903185,"9/16/98 0:00",Pharmaceuticals,"Hoechst Marion Roussel, Inc","10236 Marion Park Dr","Kansas City",Jackson,"AP:  Received Basic OP Issued","AOP: Basic Operating Permit","9/16/98 0:00",OP,0,"9/15/03 0:00",,APB000950063,39.048809,-94.595695,1,rooftop,10236,"Marion Park Dr",,,"Kansas City",MO,"Jackson County",64137,US,"City of Kansas City",2021,29,29095,"Kansas City",2938000,007100,3000,3,290950071003000,29095007100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199809072,"9/21/98 0:00","Packing line upgrade","National Starch And Chemical Company","1001 Bedford Rd","North Kansas City",Clay,"AP:  No Permit Required","AP: Applicability Determination Request","10/27/98 0:00",N/A,36,,,APB000470002,39.128781,-94.570247,1,range_interpolation,1001,"Bedford Rd",,,"Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,6149,6,290470221006149,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199809074,"9/22/98 0:00","Tank farm upgrades","Miles Inc (Bayer Corp)","8400 HAWTHORNE RD","Kansas City",Jackson,"AP:  Appeal Withdrawn","AP: Sales Tax Exemption Requests","12/9/02 0:00",,1539,,,AP0000950011,39.12172,-94.478888,1,rooftop,8400,"Hawthorne Rd",,,"Kansas City",MO,"Jackson County",64120,US,Jackson,2021,29,29095,"Kansas City",2938000,015500,2003,2,290950155002003,29095015500,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199901002,"12/31/98 0:00","Blending Tank Permit Modifications","Tnemec Company, Inc","123 W 123rd Ave","North Kansas City",Clay,"AP:  Appeal Resolved","AP: Sec 5 & 6: Deminimis and Minor","3/13/01 0:00",0899-008,803,,,AP0000470075,39.130004,-94.562177,0.45,place,,,,,"North Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,6014,6,290470221006014,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199901018,"1/7/99 0:00","500 MW gas-fired comb. cycle turbine","MEP Pleasant Hill, LLC","25111 E 175th","Pleasant Hill",Cass,"AP:  Section 8 Permit Issued","AP: Section 7, 8 & 9 Major Source Review","8/25/99 0:00",0899-030,230,,,APA000370056,38.798877,-94.302495,1,range_interpolation,25111,"E 175th St",,,"Pleasant Hill",MO,"Cass County",64080,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29037,,,060402,2001,2,290370604022001,29037060402,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199810004,"10/1/98 0:00","Asphalt Plant","C. B. Asphalt, Inc. at Martin Marietta",,Peculiar,Cass,"AP:  Section 4 Permit Issued","AP: Sec 4: Relocate to New Site","10/29/98 0:00",,28,"10/24/00 0:00",,AP000037P042,38.715254,-94.472568,1,place,,,,,Peculiar,MO,"Cass County",64078,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29037,,,061002,6013,6,290370610026013,29037061002,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199810005,"10/2/98 0:00","Battery charging","Douglas Battery Mfg Co","144 W 23rd Ave","North Kansas City",Clay,"AP:  No Permit Required","AP: Applicability Determination Request","10/21/98 0:00",N/A,19,,,AP0000470111,39.145321,-94.581298,1,range_interpolation,144,"W 23rd Ave",,,"Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,6054,6,290470221006054,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199810012,"10/5/98 0:00","5 paint booths","Colorific Production Painting","7605 B E 12th St","Kansas City",Jackson,"AP:  Permit Issued","AP: Local CP","11/5/98 0:00",,31,,,AP0199810012,39.096726,-94.493022,1,rooftop,7605,"E 12th St",,,"Kansas City",MO,"Jackson County",64126,US,Jackson,2021,29,29095,"Kansas City",2938000,002100,2003,2,290950021002003,29095002100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199810016,"10/5/98 0:00","Intermediate - Hospital steam generators","Research Medical Center","2316 E MEYER BLVD","Kansas City",Jackson,"AP:  OP Application Replaced by New Submittal","AOP: Local Issued OP","12/4/03 0:00",,1886,,,AP0000952054,39.009222,-94.560735,1,rooftop,2316,"E Meyer Blvd",,,"Kansas City",MO,"Jackson County",64132,US,Jackson,2021,29,29095,"Kansas City",2938000,008700,1001,1,290950087001001,29095008700,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199810042,"10/9/98 0:00","Add conveyer system","Buildex, Inc.-New Market MO.","22105 HIGHWAY 371",Dearborn,Platte,"AP:  No Permit Required","AP: Sec 5 & 6: Deminimis and Minor","1/22/99 0:00",,105,,,AP0001650001,39.483842,-94.807421,1,range_interpolation,22105,"State Hwy 371",,,Dearborn,MO,"Platte County",64439,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29165,,,030700,4075,4,291650307004075,29165030700,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199810075,"10/21/98 0:00","Two Granulation trains","Hoechst Marion Roussel, Inc","10236 Marion Park Dr","Kansas City",Jackson,"AP:  Permit Issued","AP: Local CP","11/20/98 0:00",849,30,,,APB000950063,39.048809,-94.595695,1,rooftop,10236,"Marion Park Dr",,,"Kansas City",MO,"Jackson County",64137,US,"City of Kansas City",2021,29,29095,"Kansas City",2938000,007100,3000,3,290950071003000,29095007100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199810081,"10/21/98 0:00","UV coating system","Harmony Printing & Lithography","1200 E 210 Hwy","Pleasant Valley",Clay,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","2/16/99 0:00",0299-012,118,,,AP0000470164,37.106475,-94.513285,0.5,rooftop,1200,"N Main St",,,Joplin,MO,"Jasper County",64801,US,"City of Joplin",2021,29,29097,Joplin,2937592,011100,1000,1,290970111001000,29097011100,"Joplin, MO",27900,metropolitan,"Joplin-Miami, MO-OK",309,,
EX199810076,"10/22/98 0:00","Lithographic press ","Townsend Communications","7007 NE PARVIN RD","Kansas City",Clay,"AP:  Permit Issued","AP: Local CP","11/22/98 0:00",856,31,,,AP0000470045,39.167884,-94.49745,1,rooftop,7007,"NE Parvin Rd",,,"Kansas City",MO,"Clay County",64117,US,"City of Kansas City",2021,29,29047,"Kansas City",2938000,020602,4002,4,290470206024002,29047020602,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199810080,"10/23/98 0:00","Screen Printing Ink Manufacturer","Sericol, Inc.","20 W. 14th Ave.","North Kansas City",Clay,"AP:  Operating Permit Issued","AOP: Basic Operating Permit","2/5/99 0:00",OP1999-021,105,"2/5/04 0:00",,APA000470141,39.134353,-94.58076,1,range_interpolation,20,"W 14th Ave",,,"Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,6089,6,290470221006089,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199811006,"10/29/98 0:00","Overfire Air Unit","UtiliCorp United - Sibley","33200 East Johnson Road",Sibley,Jackson,"AP:  No Permit Required","AP: Applicability Determination Request","12/10/98 0:00",N/A,42,,,APB000950031,39.177896,-94.184572,1,rooftop,33200,"E Johnson Rd",,,Sibley,MO,"Jackson County",64088,US,Jackson,2021,29,29095,,,015000,2040,2,290950150002040,29095015000,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199811007,"10/29/98 0:00","New asphalt storage silo","Bowen Construction Co","Langsford Rd","Lee's Summit",Jackson,"AP:  Section 6 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","1/20/99 0:00",0199-017,83,,,AP0000950192,38.916381,-94.328161,0.9,street_center,,"SE Langsford Rd",,,"Lee's Summit",MO,"Jackson County",64063,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29095,"Lee's Summit",2941348,013904,1004,1,290950139041004,29095013904,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199811031,"11/2/98 0:00","Pathological waste incinerator","Wayside Waifs","3901 E 119th St",Grandview,Jackson,"AP:  Section 5 Permit Issued","AP: Sec 5 & 6: Deminimis and Minor","1/14/99 0:00",0199-013,73,,,AP0000950185,38.91173,-94.545922,0.79,nearest_rooftop_match,3912,"E 119th St",,,"Kansas City",MO,"Jackson County",64137,US,"City of Kansas City",2021,29,29095,"Kansas City",2938000,010204,4001,4,290950102044001,29095010204,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199811039,"11/3/98 0:00","Filling machine & media mill","Tnemec Company, Inc","123 W 123rd Ave","North Kansas City",Clay,"AP:  No Permit Required","AP: Applicability Determination Request","12/11/98 0:00",N/A,38,,,AP0000470075,39.130004,-94.562177,0.45,place,,,,,"North Kansas City",MO,"Clay County",64116,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29047,"North Kansas City",2953102,022100,6014,6,290470221006014,29047022100,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199811050,"11/5/98 0:00","Rock Crushing, Quarry","Hunt Midwest Mining - Stamper","14457 Interurban Rd","Kansas City",Platte,"AP:  Permit Issued","AP: Local CP","12/5/98 0:00",854,30,,,APA001652403,39.355621,-94.678516,0.9,range_interpolation,14457,"Interurban Rd",,,"Platte City",MO,"Platte County",64079,US,"TIGER/Line® dataset from the US Census Bureau",2021,29,29165,,,030601,2006,2,291650306012006,29165030601,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
EX199811073,"11/9/98 0:00","New Web Press","Quebecor Printing/Eagle Inc","4515 E. 75th Terrace","Kansas City",Jackson,"AP:  Permit Issued","AP: Local CP","12/9/98 0:00",862,30,,,AP0000950044,38.988109,-94.535215,1,rooftop,4515,"E 75th Ter",,,"Kansas City",MO,"Jackson County",64132,US,Jackson,2021,29,29095,"Kansas City",2938000,009600,3001,3,290950096003001,29095009600,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
